Dos,Place,Nom,CLUBS UFOLEP,CLUBS Exterieurs,Fédération,Dépt,CATEGORIE 
76,1,LORIGEON FABIEN,LA TRONCHE VELO SPORT,,UFO,038,
77,2,MELEZE FREDERIC,SUD GRESIVAUDAN CYCLISME,,UFO,038,
74,3,DEGACHE SIMON,,,?,,
78,4,PELTIER MICHAEL,UCV,,?,,
72,5,CHERY PAUL,LE FONTANIL CYCLISME,,UFO,038,
70,6,AYACHE HACENE,,,?,,
73,7,COGNE SEBASTIEN,,,?,,
80,8,LISI SAMUELE,LE FONTANIL CYCLISME,,UFO,038,
71,9,CHAMPAULT MICKAEL,LA TRONCHE VELO SPORT,,UFO,038,
75,AB,DELETROY AXEL,LE FONTANIL CYCLISME,,UFO,038,
79,AB,TRUPPA SEBASTIEN,LAC ALLIANCE CYCLISTE,,?,073,
