Clst,DOS,NOM,Club,Catégorie,Rem
1,77,RIPPERT VALENTIN,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 2,
2,79,SOURIMANT NICOLAS,LE FONTANIL CYCLISME,UFOLEP 2,
3,78,SANTALUCIA UGO,TEAM 3 MASSIFS,UFOLEP 2,
4,71,MONGE NICOLAS,LE FONTANIL CYCLISME,UFOLEP 2,
5,73,MORACCHIOLI THOMAS,TEAM 3 MASSIFS,UFOLEP 2,
6,68,MELEZE FREDERIC,SUD GRESIVAUDAN CYCLISME,UFOLEP 2,
7,59,DEGACHE SIMON,---,UFOLEP 2,
8,60,DELETROY AXEL,LE FONTANIL CYCLISME,UFOLEP 2,
9,74,PETITE PATRICE,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 2,
10,69,MELEZE JEAN-PHILIPPE,SUD GRESIVAUDAN CYCLISME,UFOLEP 2,
11,63,JALLET WILLIAM,TEAM JALLET AUTO,UFOLEP 2,
12,67,MARTINEZ PHILIPPE,TEAM JALLET,UFOLEP 2,
13,75,PINTUS EMMANUEL,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 2,
14,62,GIL BRUNO,---,UFOLEP 2,
15,56,COLLETTE MAXIME,TEAM 3 MASSIFS,UFOLEP 2,
16,70,MERLO RAPHAEL,TEAM 3 MASSIFS,UFOLEP 2,
17,58,DE FLAUGERGUES FRANCOIS,SUD GRESIVAUDAN CYCLISME,UFOLEP 2,
18,53,CHERY PAUL,LE FONTANIL CYCLISME,UFOLEP 2,
19,51,BOUVIER THOMAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 2,
20,76,REY ANTHONY,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 2,
21,72,MONNET YANNICK,SUD GRESIVAUDAN CYCLISME COMPETITION,UFOLEP 2,
22,81,PUDELKO SÉBASTIEN,LA TRONCHE VELO SPORT,UFOLEP 2,
23,64,LISI SAMUELE,TEAM 3 MASSIFS,UFOLEP 2,
24,57,COLOTTI JULIEN,TEAM 3 MASSIFS,UFOLEP 2,
25,66,MARMI XAVIER,TEAM JALLET AUTO,UFOLEP 2,
26,80,TRUC-VALLET  THOMAS,PAS DE CLUB,UFOLEP 2,
,52,BROUSSET TRISTAN,ALPIN'S WHEEL TEAM,UFOLEP 2,DNF
,55,COGNE SEBASTIEN,---,UFOLEP 2,DNF
,61,DUPIN ALEXANDRE,TEAM 3 MASSIFS,UFOLEP 2,DNF
,54,CLEMENT JUST,TEAM 3 MASSIFS,UFOLEP 2,DNS
,65,LOLIA  FELIX,AS BERTHELOT MERMOZ,UFOLEP 2,DNS
