Clst,DOS,NOM,Club,Catégorie,Rem
1,18,RICAU CHARLES,LE FONTANIL CYCLISME,UFOLEP 1,
2,7,GALINDO-REVOL EMMANUEL,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,
3,11,HAGE TITOUAN,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,
4,9,GIRAUD MATTHIEU,UC RIVES,UFOLEP 1,
5,4,DUBOIS BILLY,SGCC,UFOLEP 1,
6,20,VIDE NICOLAS,LA TRONCHE VELO SPORT,UFOLEP 1,
7,16,PENEL MARVIN,VTT CHARTREUSE,UFOLEP 1,
8,6,FRITSCH NICOLAS,UC VOIRON,UFOLEP 1,
9,8,GEFFROY MAXIME,ESSM,UFOLEP 1,
10,1,BLANCHIN MATHIEU,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,
11,5,DURU JEAN PAUL,TEAM 3 MASSIFS,UFOLEP 1,
12,17,PITIOT TAO,SGCC,UFOLEP 1,
13,13,LAMBERSEND BAPTISTE,UC VOIRON,UFOLEP 1,
14,12,JAILLANT AXEL,ESSM,UFOLEP 1,
15,10,GUICHARD LEO,UC VOIRON,UFOLEP 1,
16,19,VIALLET TIMOTHEE,UC VOIRON,UFOLEP 1,
,2,BOURGEOIS LAURENT,V.S.R.P,UFOLEP 1,DNF
,14,LAPIERRE NOE,TEAM 3 MASSIFS,UFOLEP 1,DNF
,21,VINCENT ANTOINE,AURA,UFOLEP 1,DNF
,3,DALBERA MAX,TERRA TEAM,UFOLEP 1,DNS
,15,MOREL PHILIPPE,CHABLAIS LEMAN SPORT ORGANISATION,UFOLEP 1,DNS
