Clst,DOS,NOM,Club,Catégorie,Rem
1,62,JALLIFFIER-TALMAT THOMAS,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
2,61,JALLIFFIER-TALMAT PATRICE,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
3,52,ANGOT ANTOINE,CLUB MARZY CYCLISTE,UFOLEP 3,
4,69,PARROT YVES,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
5,76,UHRY GILLES,TEAM 3 MASSIFS,UFOLEP 3,
6,67,NORAZ FLORENT,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
7,73,SEITE ALAIN,TEAM 3 MASSIFS,UFOLEP 3,
8,68,PAQUET DOMINIQUE,RIVES UNION CYCLISTE,UFOLEP 3,
9,60,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
10,55,CLOUTE FRANCOIS,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
11,54,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
12,71,PENEL STEPHANE,VTT CHARTREUSE,UFOLEP 3,
13,58,DUMOULIN HERVE,UNION CYCLISTE RIVOISE,UFOLEP 3,
14,77,VIAL WILLY,LE FONTANIL CYCLISME,UFOLEP 3,
15,57,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
16,75,THEVENET PIERRICK,TEAM 3 MASSIFS,UFOLEP 3,
17,74,SEVOZ ARNAUD,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
18,59,GATEAUX DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
19,66,MICAS TITOUAN,CYCLO CLUB DE GIERES,UFOLEP 3,
20,72,SAINTHUILE TRISTAN,TEAM 3 MASSIFS,UFOLEP 3,
21,70,PATRICELLI GILLES,TEAM 3 MASSIFS,UFOLEP 3,
22,56,D'ASCOLI JEAN-PIERRE,CYCLO CLUB DE GIERES,UFOLEP 3,
23,63,KAIFFER NICOLAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
24,51,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,UFOLEP 3,
25,53,BOUVIER MANON,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
26,64,MATHIAN EVAN,---,UFOLEP 3,
27,65,MATHIAN NICOLAS,---,UFOLEP 3,
,78,VIDAL LAURENT,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,DNF
