Clst,DOS,NOM,Club,Catégorie,Rem
1,63,PENEL STEPHANE,VTT CHARTREUSE,UFOLEP 3,
2,52,GATEAUX Damien,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
3,46,CARTIER STEPHANE,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
4,61,PARROT YVES,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
5,60,PAQUET DOMINIQUE,RIVES UNION CYCLISTE,UFOLEP 3,
6,56,LANDA MATTHIEU,LA TEAM COULEURS SAVOIE,UFOLEP 3,
7,53,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
8,67,SEVOZ ARNAUD,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
9,51,DUCOL GILLES,LA MOTTE SERVOLEX CYCLISME,UFOLEP 3,
10,64,POMMIER NICOLAS,LE FONTANIL CYCLISME,UFOLEP 3,
11,47,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
12,43,BONNEFILLE ROMAIN,TEAM 3 MASSIFS,UFOLEP 3,
13,68,THEVENET PIERRICK,TEAM 3 MASSIFS,UFOLEP 3,
14,50,DORCE-MICHEL STEVENSON,TEAM 3 MASSIFS,UFOLEP 3,
15,49,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
16,65,SAINTHUILE TRISTAN,TEAM 3 MASSIFS,UFOLEP 3,
17,55,KAIFFER NICOLAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
18,59,NORAZ FLORENT,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
19,48,D'ASCOLI JEAN-PIERRE,CYCLO CLUB DE GIERES,UFOLEP 3,
20,69,TOFFANIN Alexis,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
21,58,MICAS TITOUAN,CYCLO CLUB DE GIERES,UFOLEP 3,
22,54,HAGE BENOIT,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
23,44,BROCHET XAVIER,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
24,66,SCISCIOLI LEONARD,SUD GRESIVAUDAN CYCLISME,UFOLEP 3,
25,62,PATRICELLI ARMAND,CYCLO CLUB DE GIERES,UFOLEP 3,
26,41,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,UFOLEP 3,
27,45,BUISSON GREGORY,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
