Clst,DOS,NOM,Club,Catégorie,Rem
1,80,RAMBAUD JULIEN,TEAM 3 MASSIFS,UFOLEP 4,
2,75,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,UFOLEP 4,
3,85,GUILLERMIN ROLAND,RIVES UNION CYCLISTE,UFOLEP 4,
4,82,VALERO ANGELIQUE,RIVES UNION CYCLISTE,UFOLEP 4,
5,84,CHABOT GILLES,Union cycliste du pays Gapencais,UFOLEP 4,
6,76,HURSON NICOLAS,TEAM 3 MASSIFS,UFOLEP 4,
7,79,MOSCA PATRICK,UNION CYCLISTE VOIRONNAISE,UFOLEP 4,
8,78,MESSY PATRICK,VELO CLUB DE PORC DE BOUC,UFOLEP 4,
9,77,LOUPIEN VINCENT,CYCLO CLUB DE GIERES,UFOLEP 4,
10,81,SAUVAGE CYRIL,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 4,
11,83,CARTIER MILLION RAYMOND,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 4,
