Classement,Dossard,NomFamille,Prénom,Colonne1,Club,Sprint,CLM,Elimination,Total 
1er,10,Lennard,Roth,Access 2,RC Shawlben Munich,21,28,24,73
2ème,4,Ravinel,Dorian,FSGT 2,VC Rambertois,11,29,22,62
3ème,12,Berger,Pierre,Open 3,GMC 38,17,24,20,61
4ème,29,Hester,Theo,Open 3,UC Voiron,11,27,21,59
5ème,7,Emorine,Quentin,Access 1,7ieme BCA,12,26,19,57
6ème,1,Riflade,Théo,UFOLEP 1,TEAM 3 MASSIFS,4,21,23,48
7ème,19,Chatain,Axel,Open 3,GMC 38,6,17,25,48
8ème,11,Ledac,Pierre,UFOLEP 1,TVS,5,25,10,40
9ème,24,Bejuis,Cédric,FSGT 2,Alpins Wheel Team,1,22,16,39
10ème,20,Vuillemenot,Valentin,UFOLEP 1,TEAM 3 MASSIFS,6,23,9,38
11ème,23,Matic,Kevin,Access 2,Alpins Wheel Team,4,18,14,36
12ème,13,Georjon,Baptiste,Open 3,GMC 38,4,19,12,35
13ème,5,Barnabé,Aurélien,UFOLEP 1,SCALE,0,14,18,32
14ème,28,Hage,Titouan,Access 1,UC Voiron,0,16,13,29
15ème,26,Pellerin,Xavier,Fsgt 2,UC Cognin,0,20,8,28
16ème,14,Audibert,Hugo,Access 2,GMC 38,0,15,11,26
17ème,2,Dufour,Damien,Access 2,Guidon Machecoulais,0,9,17,26
18ème,25,Wintz,Thimothée,UFOLEP 1,Alpins Wheel Team,0,8,15,23
19ème,6,Herzog,Nikolaï,Access 1,RSG Franckfurt,3,13,2,18
20ème,16,Audibert,Matthis,Open 3,GMC38,0,11,7,18
21er,27,Tonon,Nathan,Open 3,UC Voiron,0,10,5,15
22ème,17,Boucher,Florian,Access 2,GMC38,0,7,6,13
23ème,18,Dury,Romain,Open 3,GMC38,0,12,0,12
24ème,22,Barthelemy,Yann,Access 2,SG CC,0,6,4,10
25ème,21,Garagnon,Elie,Access 1,UC Voiron,0,5,3,8
26ème,3,Owen,Liam,UFOLEP 1,UC Pontcharra,0,4,0,4
27ème,9,Mallet,Vincent,Access 2,ESSM,0,3,0,3
28ème,8,Amouroux,Julien,FFC,GMC 38,0,2,1,3
29ème,15,Heyerst,Robin,Access 2,GMC 38,0,1,0,1
