Clst,DOS,NOM,Club,Catégorie,Rem
01,55,RAMBAUD JULIEN,TEAM 3 MASSIFS,UFOLEP 4,
02,60,BUSCAYLET PHILIPPE,CYCLO CLUB DE GIERES,UFOLEP 4,
03,53,MARCHAIS ALEXANDRE,LE FONTANIL CYCLISME,UFOLEP 4,
04,58,PARA DAMIEN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 4,
05,62,CHABOT GILLES,UNION CYCLISTE DU PAYS GAPENCAIS,UFOLEP 4,
06,63,TOFFANIN ALEXIS,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 4,
07,61,CARTIER MILLON RAYMOND,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 4,
08,51,SORDET FABIEN,UNION CYCLISTE VOIRONNAISE,UFOLEP 4,
,54,BINGLER ERIC,RIVES UNION CYCLISTE,UFOLEP 4,DNF
,52,INDERCHIT JEAN-LOUIS,UNION CYCLISTE VOIRONNAISE,UFOLEP 4,DNS
,56,VIAL FABRICE,CYCLO CLUB DE GIERES,UFOLEP 4,DNS
,57,CARRE HERVE,TEAM 3 MASSIFS,UFOLEP 4,DNS
,59,MOSCA PATRICK,UNION CYCLISTE VOIRONNAISE,UFOLEP 4,DNS
