Clst,DOS,NOM,Club,Catégorie,Rem
01,36,GALINDO-REVOL EMMANUEL,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,
02,38,MOREL PHILIPPE,CHABLAIS LEMAN SPORT ORGANISAT,UFOLEP 1,
03,15,GRESSE GABRIEL,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,
04,39,CADO CORENTIN,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,
05,33,ZEITER ALEXIS,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,
06,05,PEUGET CLEMENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,
07,20,DOMITILE BENJAMIN,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,
08,11,HAGE TITOUAN,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,
09,22,GAZETTA YAN,ESSM CYCLISME,UFOLEP 1,
10,06,SYLVESTRE THEOPHILE,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,
11,41,PITIOT TAO,SUD GRESIVAUDAN CYCLISME,UFOLEP 1,
12,12,HUN NICOLAS,---,UFOLEP 1,
13,17,LANDA MATTHIEU,LA TEAM COULEURS SAVOIE,UFOLEP 1,
14,04,MUNSTERMAN NIELS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,
15,21,BERNARD ALEXANDRE,LAC ALLIANCE CYCLISME,UFOLEP 1,
16,16,MAHIER NICOLAS,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,
17,25,VERNEY FREDERIC,TEAM JALLET AUTO,UFOLEP 1,
18,31,GAUTHIER-PHILIPPE ERWIN,LAC ALLIANCE CYCLISME,UFOLEP 1,
19,43,MAT CAMILLE,TEAM JALLET AUTO,UFOLEP 1,
20,37,BANNIER MAXIME,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,1 Tour
,01,AUBERT THOMAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,DNF
,02,CHAUVEL YANN,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,DNF
,07,VIGNON PAUL-ELIOTT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,DNF
,08,GEFFROY MAXIME,ESSM CYCLISME,UFOLEP 1,DNF
,10,DUBOIS BILLY,SUD GRESIVAUDAN CYCLISME,UFOLEP 1,DNF
,13,CHAMBON FLORENTIN,LA TEAM COULEURS SAVOIE,UFOLEP 1,DNF
,14,AMAND CHARLIE,LA MOTTE-SERVOLEX CYCLISME,UFOLEP 1,DNF
,19,DALSKY ANTHONY,LA CHERIZIENNE - VILLE DE CHAUNY,UFOLEP 1,DNF
,23,MOREAU NOA,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,DNF
,28,CHESNEL THIBAUD,LAC ALLIANCE CYCLISME,UFOLEP 1,DNF
,29,PEZERIL CLEMENT,LAC ALLIANCE CYCLISME,UFOLEP 1,DNF
,32,BLANCHIN MATHIEU,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,DNF
,34,BONNEAU RENAN,SECTOR-A CYCLING TEAM RICING,UFOLEP 1,DNF
,35,MAUGUEN TIMEO,---,UFOLEP 1,DNF
,40,LABORY JEREMY,LAC ALLIANCE CYCLISME,UFOLEP 1,DNF
,46,GUILLAUD WILLAM,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,DNF
,03,DESCOMBES ALEXIS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 1,DNS
,09,MALLET VINCENT,ESSM CYCLISME,UFOLEP 1,DNS
,18,ACHHIBAT NASSIM,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,DNS
,24,PERES PIERRE,LA TEAM COULEURS SAVOIE,UFOLEP 1,DNS
,26,VELLY BENJAMIN,LA MOTTE SERVOLEX CYCLISME,UFOLEP 1,DNS
,27,RICAU CHARLES,LE FONTANIL CYCLISME,UFOLEP 1,DNS
,30,SAGE THIBAULT,UNION CYCLISTE VOIRONNAISE,UFOLEP 1,DNS
,42,PELOSO THIERRY,TEAM JALLET AUTO,UFOLEP 1,DNS
,44,MAINGOT ALEXANDRE,LAC ALLIANCE CYCLISME,UFOLEP 1,DNS
,45,VINCENT ANTOINE,AURA,UFOLEP 1,DNS
