Clst,DOS,NOM,Club,Catégorie,Rem
01,37,CLOUTE FRANCOIS,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
02,45,PAQUET DOMINIQUE,RIVES UNION CYCLISTE,UFOLEP 3,
03,46,POMMIER NICOLAS,LE FONTANIL CYCLISME,UFOLEP 3,
04,39,DEBUCK LAURENT,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
05,41,GERRAND ANTONY,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
06,43,KAIFFER NICOLAS,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,UFOLEP 3,
07,51,VIAL WILLY,LE FONTANIL CYCLISME,UFOLEP 3,
08,35,CHAUMONT COLIN,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
09,36,CHEVIGNON FRANCK,LA TRONCHE VELO SPORT,UFOLEP 3,
10,33,BERNARD PATRICK,TEAM 3 MASSIFS,UFOLEP 3,
11,42,GIANNONE JOSEPH,UNION CYCLISTE VOIRONNAISE,UFOLEP 3,
12,38,D'ASCOLI JEAN-PIERRE,CYCLO CLUB DE GIERES,UFOLEP 3,
13,40,DUMOULIN HERVE,UNION CYCLISTE RIVOISE,UFOLEP 3,
14,48,TOFFANIN ALEXIS,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
15,50,UHRY GILLES,TEAM 3 MASSIFS,UFOLEP 3,
16,47,SCISCIOLI LEONARD,SUD GRESIVAUDAN CYCLISME,UFOLEP 3,
17,49,TRAMAGLIA CEDRIC,JARRIE CHAMP SUR DRAC CYCLISME,UFOLEP 3,
18,32,BADIN PHILIPPE,SUD GRESIVAUDAN CYCLISME,UFOLEP 3,
19,34,BUCCI GREGORY,TEAM 3 MASSIFS,UFOLEP 3,
20,44,MARLETAZ JULIEN,LA TRONCHE VELO SPORT,UFOLEP 3,
,31,ANCELY COLIN,TEAM 3 MASSIFS,UFOLEP 3,DNS
