Dossard,Place,Nom,Prénom,Club,Département,Fédération,Catégorie
10,1,Huffschmidt,Jeremy,Vélo Club Rambertois,26,FFC,FFC HOMMES OPEN 3
2,2,Riflade,Théo,Team 3 massifs,38,,UFOLEP 1
8,3,Huppenoire,Yohan,Team 3 Massifs,38,FFC,FFC HOMMES ACCESS 1 + ACCESS 2 + U19
5,4,LEDAC,Pierre,TVS,38,,UFOLEP 1
1,5,Bernabé,Aurélien ,Scal Echirolles,38,,UFOLEP 1
3,6,Heurard,Andréa,Team 3 massifs,38,,UFOLEP 1
6,7,Hage,Titouan,UC Voiron,38,FFC,FFC HOMMES ACCESS 1 + ACCESS 2 + U19
9,8,HUFFSCHMIDT,david,VC RAMBERTOIS,26,FFC,FFC HOMMES ACCESS 1 + ACCESS 2 + U19
4,9,RIBEZZI,Thomas,LE FONTANIL CYCLISME,38,,UFOLEP 1
13,10,truye,patrick,Velo GriffonMeyzieu,69,FSGT,FSGT HOMMES 2
7,11,Schmit,Raphaël,UC Voiron,38,FFC,FFC HOMMES ACCESS 1 + ACCESS 2 + U19
11,AB,JANY,Lucas,UC Voironnaise,38,FFC,FFC HOMMES OPEN 3
12,AB,Tonon,Nathan,UC Voiron,38,FFC,FFC HOMMES OPEN 3
